LIBERTAD_000_MET_MED_CANAL01 | 7.812450 | 0 | 01/05/2025 02:47:43:618 | 0 | 0
LIBERTAD_000_MET_MED_CANAL02 | 7.800170 | 0 | 01/05/2025 02:47:43:618 | 0 | 0
LIBERTAD_000_MET_MED_CANAL08 | 50.130005 | 0 | 01/05/2025 02:47:43:618 | 0 | 0
LIBERTAD_000_MET_MED_CANAL09 | 8.417313 | 0 | 01/05/2025 02:47:43:618 | 0 | 0
LIBERTAD_000_MET_MED_CANAL10 | 90.568092 | 0 | 01/05/2025 02:47:43:618 | 0 | 0
LIBERTAD_000_MET_MED_CANAL11 | 1014.516968 | 0 | 01/05/2025 02:47:43:618 | 0 | 0
LIBERTAD_000_JAN_MED_P | 0.602885 | 0 | 01/05/2025 02:47:43:618 | 0 | 0
LIBERTAD_000_JAN_MED_Q | 0.131983 | 0 | 01/05/2025 02:47:43:618 | 0 | 0
LIBERTAD_000_JAN_MED_FP | 0.967014 | 0 | 01/05/2025 02:47:43:618 | 0 | 0
VENTUS_1_000_JAN_MED_P | -3.821219 | 0 | 01/05/2025 02:47:43:744 | 0 | 0
VENTUS_1_000_JAN_MED_Q | 0.964931 | 0 | 01/05/2025 02:47:43:744 | 0 | 0
VENTUS_1_000_JAN_MED_FP | 0.976564 | 0 | 01/05/2025 02:47:43:744 | 0 | 0
VENTUS_1_030_AIR_MED_P | 3824.000000 | 0 | 01/05/2025 02:47:43:744 | 0 | 0
VENTUS_1_030_AIR_MED_Q | -963.000000 | 0 | 01/05/2025 02:47:43:744 | 0 | 0
VENTUS_1_030_AIR_MED_S | 3943.392578 | 0 | 01/05/2025 02:47:43:744 | 0 | 0
VENTUS_1_030_AIR_MED_I | 74.000000 | 0 | 01/05/2025 02:47:43:744 | 0 | 0
ROSARIO_000_MET_MED_CANAL01 | 6.715000 | 0 | 01/05/2025 02:47:43:759 | 0 | 0
ROSARIO_000_MET_MED_CANAL08 | 43.799988 | 0 | 01/05/2025 02:47:43:759 | 0 | 0
ROSARIO_000_MET_MED_CANAL10 | 86.567566 | 0 | 01/05/2025 02:47:43:759 | 0 | 0
ROSARIO_000_MET_MED_CANAL11 | 1003.433899 | 0 | 01/05/2025 02:47:43:759 | 0 | 0
ROSARIO_000_JAN_MED_P | -3.633319 | 0 | 01/05/2025 02:47:43:759 | 0 | 0
ROSARIO_000_JAN_MED_Q | -0.009768 | 0 | 01/05/2025 02:47:43:759 | 0 | 0
ROSARIO_000_JAN_MED_FP | -0.999938 | 0 | 01/05/2025 02:47:43:759 | 0 | 0
ROSARIO_030_AIR_MED_P | 3602.000000 | 0 | 01/05/2025 02:47:43:759 | 0 | 0
ROSARIO_030_AIR_MED_Q | 4.000000 | 0 | 01/05/2025 02:47:43:759 | 0 | 0
ROSARIO_030_AIR_MED_FP | -0.998000 | 0 | 01/05/2025 02:47:43:759 | 0 | 0
ROSARIO_030_AIR_MED_V | 63.470001 | 0 | 01/05/2025 02:47:43:759 | 0 | 0
