SOLIS_000_GRL_MED_TENSIONBARRASKV | 32.008007 | 0 | 01/05/2025 01:07:43:877 | 0 | 0
SOLIS_030_AIR_MED_P | 4408.000000 | 0 | 01/05/2025 01:07:43:877 | 0 | 0
SOLIS_030_AIR_MED_Q | 0.000000 | 0 | 01/05/2025 01:07:43:877 | 0 | 0
SOLIS_030_AIR_MED_S | 4408.000000 | 0 | 01/05/2025 01:07:43:877 | 0 | 0
MARIA_LUZ_000_MET_MED_CANAL02 | 11.377600 | 0 | 01/05/2025 01:07:43:897 | 0 | 0
MARIA_LUZ_000_MET_MED_CANAL08 | 30.639984 | 0 | 01/05/2025 01:07:43:897 | 0 | 0
MARIA_LUZ_000_MET_MED_CANAL09 | 11.139534 | 0 | 01/05/2025 01:07:43:897 | 0 | 0
MARIA_LUZ_000_MET_MED_CANAL10 | 84.021469 | 0 | 01/05/2025 01:07:43:897 | 0 | 0
MARIA_LUZ_000_MET_MED_CANAL11 | 1003.113403 | 0 | 01/05/2025 01:07:43:897 | 0 | 0
MARIA_LUZ_000_JAN_MED_P | -9.764024 | 0 | 01/05/2025 01:07:43:897 | 0 | 0
MARIA_LUZ_000_JAN_MED_Q | 2.842859 | 0 | 01/05/2025 01:07:43:897 | 0 | 0
MARIA_LUZ_000_JAN_MED_FP | -0.958920 | 0 | 01/05/2025 01:07:43:897 | 0 | 0
MARIA_LUZ_030_AIR_MED_P | 9631.000000 | 0 | 01/05/2025 01:07:43:897 | 0 | 0
MARIA_LUZ_030_AIR_MED_Q | -2812.000000 | 0 | 01/05/2025 01:07:43:897 | 0 | 0
MARIA_LUZ_030_AIR_MED_V | 32.436001 | 0 | 01/05/2025 01:07:43:897 | 0 | 0
MARIA_LUZ_030_AIR_MED_S | 10033.120117 | 0 | 01/05/2025 01:07:43:897 | 0 | 0
VILLA_ROD_000_MET_MED_CANAL02 | 11.971930 | 0 | 01/05/2025 01:07:43:927 | 0 | 0
VILLA_ROD_000_MET_MED_CANAL08 | 39.019989 | 0 | 01/05/2025 01:07:43:927 | 0 | 0
VILLA_ROD_000_MET_MED_CANAL09 | 8.840633 | 0 | 01/05/2025 01:07:43:927 | 0 | 0
VILLA_ROD_000_MET_MED_CANAL10 | 88.588417 | 0 | 01/05/2025 01:07:43:927 | 0 | 0
VILLA_ROD_000_MET_MED_CANAL11 | 1006.573914 | 0 | 01/05/2025 01:07:43:927 | 0 | 0
VILLA_ROD_000_JAN_MED_P | -8.979799 | 0 | 01/05/2025 01:07:43:927 | 0 | 0
VILLA_ROD_000_JAN_MED_Q | -0.053347 | 0 | 01/05/2025 01:07:43:927 | 0 | 0
VILLA_ROD_000_JAN_MED_FP | -0.999969 | 0 | 01/05/2025 01:07:43:927 | 0 | 0
VILLA_ROD_000_GRL_MED_TENSIONBARRASKV | 32.038548 | 0 | 01/05/2025 01:07:43:927 | 0 | 0
VILLA_ROD_030_AIR_MED_P | 8988.000000 | 0 | 01/05/2025 01:07:43:927 | 0 | 0
VILLA_ROD_030_AIR_MED_Q | 13.000000 | 0 | 01/05/2025 01:07:43:927 | 0 | 0
VILLA_ROD_030_AIR_MED_S | 8988.009766 | 0 | 01/05/2025 01:07:43:927 | 0 | 0
PCP_18_JULIO_000_JAN_MED_P | -1.102368 | 0 | 01/05/2025 01:07:44:074 | 0 | 0
PCP_18_JULIO_000_JAN_MED_Q | 0.002576 | 0 | 01/05/2025 01:07:44:074 | 0 | 0
PCP_18_JULIO_000_JAN_MED_FP | -0.999996 | 0 | 01/05/2025 01:07:44:074 | 0 | 0
PCP_18_JULIO_030_AIR_MED_P | 1091.000000 | 0 | 01/05/2025 01:07:44:074 | 0 | 0
PCP_18_JULIO_030_AIR_MED_PTOT | 1091.000000 | 0 | 01/05/2025 01:07:44:074 | 0 | 0
PCP_18_JULIO_030_AIR_MED_S | 1091.011475 | 0 | 01/05/2025 01:07:44:074 | 0 | 0
LIBERTAD_000_MET_MED_CANAL01 | 8.748151 | 0 | 01/05/2025 01:07:44:525 | 0 | 0
LIBERTAD_000_MET_MED_CANAL08 | 51.539978 | 0 | 01/05/2025 01:07:44:525 | 0 | 0
LIBERTAD_000_MET_MED_CANAL09 | 10.393864 | 0 | 01/05/2025 01:07:44:525 | 0 | 0
LIBERTAD_000_MET_MED_CANAL10 | 89.577934 | 0 | 01/05/2025 01:07:44:525 | 0 | 0
LIBERTAD_000_MET_MED_CANAL11 | 1014.516968 | 0 | 01/05/2025 01:07:44:525 | 0 | 0
