PCP_18_JULIO_000_MET_MED_CANAL01 | 3.256950 | 0 | 01/05/2025 13:17:43:464 | 0 | 0
PCP_18_JULIO_000_MET_MED_CANAL02 | 3.352600 | 0 | 01/05/2025 13:17:43:464 | 0 | 0
PCP_18_JULIO_000_MET_MED_CANAL08 | 45.459991 | 0 | 01/05/2025 13:17:43:464 | 0 | 0
PCP_18_JULIO_000_MET_MED_CANAL09 | 19.498066 | 0 | 01/05/2025 13:17:43:464 | 0 | 0
PCP_18_JULIO_000_MET_MED_CANAL10 | 61.124187 | 0 | 01/05/2025 13:17:43:464 | 0 | 0
PCP_18_JULIO_000_JAN_MED_P | 0.039323 | 0 | 01/05/2025 13:17:43:464 | 0 | 0
PCP_18_JULIO_000_JAN_MED_Q | -0.106192 | 0 | 01/05/2025 13:17:43:464 | 0 | 0
PCP_18_JULIO_000_JAN_MED_FP | 0.202546 | 0 | 01/05/2025 13:17:43:464 | 0 | 0
PCP_18_JULIO_030_AIR_MED_P | -38.000000 | 0 | 01/05/2025 13:17:43:464 | 0 | 0
PCP_18_JULIO_030_AIR_MED_PTOT | -38.000000 | 0 | 01/05/2025 13:17:43:464 | 0 | 0
PCP_18_JULIO_030_AIR_MED_Q | 102.000000 | 0 | 01/05/2025 13:17:43:464 | 0 | 0
PCP_18_JULIO_030_AIR_MED_FP | 0.351000 | 0 | 01/05/2025 13:17:43:464 | 0 | 0
PCP_18_JULIO_030_AIR_MED_S | 108.848518 | 0 | 01/05/2025 13:17:43:464 | 0 | 0
LIBERTAD_000_MET_MED_CANAL01 | 6.034620 | 0 | 01/05/2025 13:17:44:129 | 0 | 0
LIBERTAD_000_MET_MED_CANAL08 | 46.100006 | 0 | 01/05/2025 13:17:44:129 | 0 | 0
LIBERTAD_000_MET_MED_CANAL09 | 21.952518 | 0 | 01/05/2025 13:17:44:129 | 0 | 0
LIBERTAD_000_MET_MED_CANAL10 | 50.687820 | 0 | 01/05/2025 13:17:44:129 | 0 | 0
LIBERTAD_000_MET_MED_CANAL11 | 1013.660645 | 0 | 01/05/2025 13:17:44:129 | 0 | 0
LIBERTAD_000_JAN_MED_P | 1.159968 | 0 | 01/05/2025 13:17:44:129 | 0 | 0
LIBERTAD_000_JAN_MED_Q | 0.217249 | 0 | 01/05/2025 13:17:44:129 | 0 | 0
LIBERTAD_000_JAN_MED_FP | 0.976606 | 0 | 01/05/2025 13:17:44:129 | 0 | 0
LIBERTAD_030_AIR_MED_P | 3674.000000 | 0 | 01/05/2025 13:17:44:129 | 0 | 0
LIBERTAD_030_AIR_MED_Q | 441.000000 | 0 | 01/05/2025 13:17:44:129 | 0 | 0
VENTUS_1_000_MET_MED_CANAL01 | 5.313750 | 0 | 01/05/2025 13:17:44:223 | 0 | 0
VENTUS_1_000_MET_MED_CANAL02 | 5.305100 | 0 | 01/05/2025 13:17:44:223 | 0 | 0
