PCP_18_JULIO_000_JAN_MED_FP | -0.999642 | 0 | 01/05/2025 15:07:43:515 | 0 | 0
PCP_18_JULIO_030_AIR_MED_P | 438.000000 | 0 | 01/05/2025 15:07:43:515 | 0 | 0
PCP_18_JULIO_030_AIR_MED_PTOT | 438.000000 | 0 | 01/05/2025 15:07:43:515 | 0 | 0
PCP_18_JULIO_030_AIR_MED_S | 438.010284 | 0 | 01/05/2025 15:07:43:515 | 0 | 0
PCP_18_JULIO_030_AIR_MED_QCAP | 1955.000000 | 0 | 01/05/2025 15:07:43:515 | 0 | 0
LIBERTAD_000_MET_MED_CANAL01 | 7.157460 | 0 | 01/05/2025 15:07:44:226 | 0 | 0
LIBERTAD_000_MET_MED_CANAL08 | 40.380005 | 0 | 01/05/2025 15:07:44:226 | 0 | 0
LIBERTAD_000_MET_MED_CANAL10 | 50.910969 | 0 | 01/05/2025 15:07:44:226 | 0 | 0
LIBERTAD_000_MET_MED_CANAL11 | 1012.525269 | 0 | 01/05/2025 15:07:44:226 | 0 | 0
LIBERTAD_000_JAN_MED_P | 0.662324 | 0 | 01/05/2025 15:07:44:226 | 0 | 0
LIBERTAD_000_JAN_MED_Q | 0.150868 | 0 | 01/05/2025 15:07:44:226 | 0 | 0
LIBERTAD_000_JAN_MED_FP | 0.966735 | 0 | 01/05/2025 15:07:44:226 | 0 | 0
LIBERTAD_030_AIR_MED_P | 2116.000000 | 0 | 01/05/2025 15:07:44:226 | 0 | 0
LIBERTAD_030_AIR_MED_Q | 335.000000 | 0 | 01/05/2025 15:07:44:226 | 0 | 0
MARIA_LUZ_000_MET_MED_CANAL01 | 6.795979 | 0 | 01/05/2025 15:07:44:280 | 0 | 0
MARIA_LUZ_000_MET_MED_CANAL08 | 25.049988 | 0 | 01/05/2025 15:07:44:280 | 0 | 0
MARIA_LUZ_000_MET_MED_CANAL10 | 60.867599 | 0 | 01/05/2025 15:07:44:280 | 0 | 0
MARIA_LUZ_000_MET_MED_CANAL11 | 1003.562256 | 0 | 01/05/2025 15:07:44:280 | 0 | 0
MARIA_LUZ_000_JAN_MED_P | -4.150585 | 0 | 01/05/2025 15:07:44:280 | 0 | 0
MARIA_LUZ_000_JAN_MED_Q | 1.210115 | 0 | 01/05/2025 15:07:44:280 | 0 | 0
MARIA_LUZ_000_JAN_MED_FP | -0.954768 | 0 | 01/05/2025 15:07:44:280 | 0 | 0
MARIA_LUZ_030_AIR_MED_P | 4107.000000 | 0 | 01/05/2025 15:07:44:280 | 0 | 0
MARIA_LUZ_030_AIR_MED_Q | -1204.000000 | 0 | 01/05/2025 15:07:44:280 | 0 | 0
MARIA_LUZ_030_AIR_MED_S | 4279.844238 | 0 | 01/05/2025 15:07:44:280 | 0 | 0
MARIA_LUZ_030_AIR_MED_S | 4281.535645 | 0 | 01/05/2025 12:07:41:920 | 0 | 0
ROSARIO_000_MET_MED_CANAL01 | 7.370830 | 0 | 01/05/2025 15:07:44:289 | 0 | 0
ROSARIO_000_MET_MED_CANAL02 | 7.265060 | 0 | 01/05/2025 15:07:44:289 | 0 | 0
ROSARIO_000_MET_MED_CANAL08 | 60.520020 | 0 | 01/05/2025 15:07:44:289 | 0 | 0
ROSARIO_000_MET_MED_CANAL10 | 57.227989 | 0 | 01/05/2025 15:07:44:289 | 0 | 0
ROSARIO_000_MET_MED_CANAL11 | 1004.996704 | 0 | 01/05/2025 15:07:44:289 | 0 | 0
ROSARIO_000_JAN_MED_P | -2.133255 | 0 | 01/05/2025 15:07:44:289 | 0 | 0
ROSARIO_000_JAN_MED_Q | -0.013743 | 0 | 01/05/2025 15:07:44:289 | 0 | 0
ROSARIO_000_JAN_MED_FP | -0.999859 | 0 | 01/05/2025 15:07:44:289 | 0 | 0
ROSARIO_030_AIR_MED_P | 2114.000000 | 0 | 01/05/2025 15:07:44:289 | 0 | 0
ROSARIO_030_AIR_MED_Q | 12.000000 | 0 | 01/05/2025 15:07:44:289 | 0 | 0
ROSARIO_030_AIR_MED_V | 63.560001 | 0 | 01/05/2025 15:07:44:289 | 0 | 0
ROSARIO_030_AIR_MED_S | 2.114034 | 0 | 01/05/2025 15:07:44:289 | 0 | 0
