VILLA_ROD_000_MET_MED_CANAL02 | 5.378870 | 0 | 01/05/2025 17:27:43:447 | 0 | 0
VILLA_ROD_000_MET_MED_CANAL08 | 61.529999 | 0 | 01/05/2025 17:27:43:447 | 0 | 0
VILLA_ROD_000_MET_MED_CANAL09 | 18.542255 | 0 | 01/05/2025 17:27:43:447 | 0 | 0
VILLA_ROD_000_MET_MED_CANAL10 | 68.283066 | 0 | 01/05/2025 17:27:43:447 | 0 | 0
VILLA_ROD_000_MET_MED_CANAL11 | 1007.005920 | 0 | 01/05/2025 17:27:43:447 | 0 | 0
VILLA_ROD_000_JAN_MED_P | -1.639086 | 0 | 01/05/2025 17:27:43:447 | 0 | 0
VILLA_ROD_000_JAN_MED_Q | -0.004286 | 0 | 01/05/2025 17:27:43:447 | 0 | 0
VILLA_ROD_000_JAN_MED_FP | -0.999971 | 0 | 01/05/2025 17:27:43:447 | 0 | 0
VILLA_ROD_000_GRL_MED_TENSIONBARRASKV | 31.534885 | 0 | 01/05/2025 17:27:43:447 | 0 | 0
VILLA_ROD_030_AIR_MED_P | 1629.000000 | 0 | 01/05/2025 17:27:43:447 | 0 | 0
VILLA_ROD_030_AIR_MED_Q | -5.000000 | 0 | 01/05/2025 17:27:43:447 | 0 | 0
VILLA_ROD_030_AIR_MED_S | 1629.007690 | 0 | 01/05/2025 17:27:43:447 | 0 | 0
VILLA_ROD_030_AIR_MED_I | 30.000000 | 0 | 01/05/2025 17:27:43:447 | 0 | 0
PCP_18_JULIO_000_MET_MED_CANAL02 | 6.810250 | 0 | 01/05/2025 17:27:43:587 | 0 | 0
PCP_18_JULIO_000_MET_MED_CANAL08 | 92.829987 | 0 | 01/05/2025 17:27:43:587 | 0 | 0
PCP_18_JULIO_000_MET_MED_CANAL09 | 16.582798 | 0 | 01/05/2025 17:27:43:587 | 0 | 0
PCP_18_JULIO_000_MET_MED_CANAL10 | 87.425392 | 0 | 01/05/2025 17:27:43:587 | 0 | 0
PCP_18_JULIO_000_MET_MED_CANAL11 | 1013.299072 | 0 | 01/05/2025 17:27:43:587 | 0 | 0
PCP_18_JULIO_000_JAN_MED_P | -2.821577 | 0 | 01/05/2025 17:27:43:587 | 0 | 0
PCP_18_JULIO_000_JAN_MED_Q | 0.577465 | 0 | 01/05/2025 17:27:43:587 | 0 | 0
PCP_18_JULIO_000_JAN_MED_FP | -0.981449 | 0 | 01/05/2025 17:27:43:587 | 0 | 0
PCP_18_JULIO_030_AIR_MED_P | 2783.000000 | 0 | 01/05/2025 17:27:43:587 | 0 | 0
PCP_18_JULIO_030_AIR_MED_PTOT | 2783.000000 | 0 | 01/05/2025 17:27:43:587 | 0 | 0
PCP_18_JULIO_030_AIR_MED_S | 2841.780029 | 0 | 01/05/2025 17:27:43:587 | 0 | 0
LIBERTAD_000_MET_MED_CANAL01 | 5.753910 | 0 | 01/05/2025 17:27:44:297 | 0 | 0
LIBERTAD_000_MET_MED_CANAL02 | 5.933370 | 0 | 01/05/2025 17:27:44:297 | 0 | 0
LIBERTAD_000_MET_MED_CANAL08 | 58.729980 | 0 | 01/05/2025 17:27:44:297 | 0 | 0
